Image,Class,ExpectedClass
images/-6896162265958450430.png,Eczema,
images/-5923881436433625108.png,Eczema,
images/-5117119409749183026.png,Eczema,
images/-4532887949010625524.png,Eczema,
images/-208880250508994115.png,Eczema,
images/6864890391460990037.png,Eczema,
images/-8709904129999602678.png,Eczema,
images/-6290735296157762317.png,Eczema,
images/-3006354197533358732.png,Eczema,
images/-6273982034263898447.png,Eczema,
images/-5627415538111651837.png,Eczema,
images/-364154373276501459.png,Eczema,
images/4917406368489395452.png,Eczema,
images/-3136247653193336048.png,Eczema,
images/-1987788942025444794.png,Eczema,
images/1844783267320439523.png,Eczema,
images/-304171554496873031.png,Eczema,
images/-1077486440588421153.png,Eczema,
images/-4856150066452561717.png,Eczema,
images/-3912040042324761913.png,Eczema,
images/-2772294595607608592.png,Eczema,
images/-3663646926790398919.png,Eczema,
images/-8845312257791618282.png,Eczema,
images/-6956330915182663951.png,Eczema,
images/-1904324689162437250.png,Eczema,
images/-8845105500170627037.png,Eczema,
images/-4748757658895953163.png,Eczema,
images/-6897298279489871391.png,Eczema,
images/3824786615165070490.png,Eczema,
images/4978639705347916523.png,Eczema,
images/4139477718088297802.png,Eczema,
images/-4937708744703119052.png,Eczema,
images/9017422570993946007.png,Eczema,
images/-2919812088362781457.png,Eczema,
images/-1533962360867773175.png,Eczema,
images/-879282527712154445.png,Eczema,
images/-5796593810251526598.png,Eczema,
images/-7380450881401563228.png,Eczema,
images/-5761650559352394553.png,Eczema,
images/777284266327823069.png,Eczema,
images/5905250719612832796.png,Eczema,
images/474363407822192070.png,Eczema,
images/-6016382419044757412.png,Eczema,
images/-5560217361581663318.png,Eczema,
images/-8778743506036272090.png,Eczema,
images/5358401025661447825.png,Eczema,
images/-532249905180848227.png,Eczema,
images/-2646140046117594823.png,Eczema,
images/-2377960990942383256.png,Allergic Contact Dermatitis,
images/-4447495762201283458.png,Eczema,
images/-6666934346468191078.png,Eczema,
images/-4188490081234160303.png,Eczema,
images/-1678791492949621880.png,Eczema,
images/-3811634225980315712.png,Eczema,
images/-2732064214388729281.png,Allergic Contact Dermatitis,
images/-2464616732809803717.png,Eczema,
images/4665901273249641911.png,Eczema,
images/2511159005449343926.png,Eczema,
images/-2479226509266633891.png,Eczema,
images/-4271531030985247738.png,Eczema,
images/-237525715880906966.png,Eczema,
images/-4449187867148856065.png,Eczema,
images/-133977812156141369.png,Eczema,
images/-3288896740583601521.png,Eczema,
images/-4510042175587375634.png,Allergic Contact Dermatitis,
images/-8399241957146252689.png,Eczema,
images/6702895546573069399.png,Eczema,
images/-6982210144088943828.png,Eczema,
images/4017974078527806014.png,Eczema,
images/-4132805793768407064.png,Eczema,
images/4818643588083348632.png,Allergic Contact Dermatitis,
images/-8339892159826401126.png,Eczema,
images/-5340042590609363828.png,Allergic Contact Dermatitis,
images/-3709268883592723272.png,Eczema,
images/7120254563388995219.png,Eczema,
images/-1183254232000145383.png,Eczema,
images/8233674798713772012.png,Eczema,
images/-3613430269420913410.png,Eczema,
images/-885408862062413113.png,Eczema,
images/-8921394409798068754.png,Eczema,
images/1354009390217104598.png,Allergic Contact Dermatitis,
images/-1567930271968899578.png,Eczema,
images/-2560035461690419800.png,Eczema,
images/-8052395955611445748.png,Eczema,
images/-3348418859469465839.png,Eczema,
images/-1288516358527303986.png,Eczema,
images/-1332224669957938192.png,Eczema,
images/-4390799833296058858.png,Eczema,
images/-2943675040447373613.png,Eczema,
images/-8831825728244064065.png,Eczema,
images/-1153384974921559234.png,Eczema,
images/-3991414355049708436.png,Eczema,
